xc yc W eW
-1.03 0.81 0.106299 0.0215171
-1.03 0.83 0.101215 0.0212427
-1.01 -0.45 0.153846 0.0254998
-1.01 -0.43 0.133588 0.0240414
-1.01 -0.41 0.175097 0.028295
-1.01 -0.39 0.152941 0.0262964
-1.01 -0.37 0.135802 0.0251943
-1.01 -0.35 0.126761 0.0224258
-1.01 -0.33 0.120141 0.0218067
-1.01 -0.31 0.121771 0.0224512
-1.01 -0.29 0.109929 0.0208008
-1.01 -0.27 0.0924658 0.0185996
-1.01 -0.25 0.140893 0.0235029
-1.01 -0.23 0.126984 0.0238305
-1.01 -0.21 0.13 0.0221284
-1.01 -0.19 0.124031 0.0232458
-1.01 -0.17 0.12766 0.0225939
-1.01 -0.15 0.173913 0.0284069
-1.01 -0.13 0.0884615 0.0192441
-1.01 -0.11 0.0988593 0.0203237
-1.01 -0.09 0.0760456 0.017639
-1.01 -0.07 0.157509 0.0258425
-1.01 -0.05 0.110345 0.0205545
-1.01 -0.03 0.148438 0.0258051
-1.01 -0.01 0.14717 0.0252406
-1.01 0.01 0.122047 0.0232195
-1.01 0.03 0.177165 0.0286544
-1.01 0.05 0.15748 0.0267888
-1.01 0.07 0.173432 0.0274037
-1.01 0.09 0.0989011 0.0199526
-1.01 0.11 0.158996 0.0277674
-1.01 0.13 0.140741 0.0243849
-1.01 0.15 0.088968 0.0185683
-1.01 0.17 0.149573 0.0271073
